ZIP5,CBSA CODE,CBSA LSAD
15370,38300,Metropolitan Statistical Area
15376,38300,Metropolitan Statistical Area
15377,38300,Metropolitan Statistical Area
15377,,
15378,38300,Metropolitan Statistical Area
15379,38300,Metropolitan Statistical Area
15380,,
25601,,
25606,,
25607,,
25608,,
25611,,
25612,,
25614,,
25617,,
25621,,
25624,,
25625,,
25628,,
25630,,
25632,,
25634,,
25635,,
25637,,
25638,,
25639,,
25644,,
25646,,
25647,,
25649,,
25650,,
25651,,
25652,,
25653,,
25654,,
25661,,
25665,,
25666,,
25667,,
25669,26580,Metropolitan Statistical Area
25670,,
25671,,
25672,,
25674,,
25674,26580,Metropolitan Statistical Area
25676,,
25678,,
25685,,
25686,,
25688,,
25690,,
25691,,
25692,,
25696,,
25699,26580,Metropolitan Statistical Area
25699,,
25699,16620,Metropolitan Statistical Area
25701,26580,Metropolitan Statistical Area
25702,26580,Metropolitan Statistical Area
25703,26580,Metropolitan Statistical Area
25704,26580,Metropolitan Statistical Area
25705,26580,Metropolitan Statistical Area
25706,26580,Metropolitan Statistical Area
25707,26580,Metropolitan Statistical Area
25708,26580,Metropolitan Statistical Area
25709,26580,Metropolitan Statistical Area
25710,26580,Metropolitan Statistical Area
25711,26580,Metropolitan Statistical Area
25712,26580,Metropolitan Statistical Area
25713,26580,Metropolitan Statistical Area
25714,26580,Metropolitan Statistical Area
25715,26580,Metropolitan Statistical Area
25716,26580,Metropolitan Statistical Area
25717,26580,Metropolitan Statistical Area
25718,26580,Metropolitan Statistical Area
25719,26580,Metropolitan Statistical Area
25720,26580,Metropolitan Statistical Area
25721,26580,Metropolitan Statistical Area
25722,26580,Metropolitan Statistical Area
25723,26580,Metropolitan Statistical Area
25724,26580,Metropolitan Statistical Area
25725,26580,Metropolitan Statistical Area
25726,26580,Metropolitan Statistical Area
25727,26580,Metropolitan Statistical Area
25728,26580,Metropolitan Statistical Area
25729,26580,Metropolitan Statistical Area
25755,26580,Metropolitan Statistical Area
25770,26580,Metropolitan Statistical Area
25771,26580,Metropolitan Statistical Area
25772,26580,Metropolitan Statistical Area
25773,26580,Metropolitan Statistical Area
25774,26580,Metropolitan Statistical Area
25775,26580,Metropolitan Statistical Area
25776,26580,Metropolitan Statistical Area
25777,26580,Metropolitan Statistical Area
25778,26580,Metropolitan Statistical Area
25779,26580,Metropolitan Statistical Area
36003,33860,Metropolitan Statistical Area
36005,45980,Micropolitan Statistical Area
36005,,
36005,21640,Micropolitan Statistical Area
36006,33860,Metropolitan Statistical Area
36006,13820,Metropolitan Statistical Area
36008,33860,Metropolitan Statistical Area
36009,,
36009,21460,Micropolitan Statistical Area
36010,45980,Micropolitan Statistical Area
36010,21460,Micropolitan Statistical Area
36013,33860,Metropolitan Statistical Area
36013,46260,Micropolitan Statistical Area
36015,,
36016,21640,Micropolitan Statistical Area
36016,20020,Metropolitan Statistical Area
36017,21640,Micropolitan Statistical Area
36020,33860,Metropolitan Statistical Area
36022,33860,Metropolitan Statistical Area
36024,33860,Metropolitan Statistical Area
36025,33860,Metropolitan Statistical Area
36026,10760,Micropolitan Statistical Area
36026,33860,Metropolitan Statistical Area
36027,21640,Micropolitan Statistical Area
36027,17980,Metropolitan Statistical Area
36027,20020,Metropolitan Statistical Area
36028,,
36029,,
36029,46260,Micropolitan Statistical Area
36029,33860,Metropolitan Statistical Area
36030,,
36031,46260,Micropolitan Statistical Area
36032,33860,Metropolitan Statistical Area
36032,,
36033,,
36034,,
36034,45980,Micropolitan Statistical Area
36034,21460,Micropolitan Statistical Area
36035,45980,Micropolitan Statistical Area
36035,,
36036,33860,Metropolitan Statistical Area
36036,,
36037,,
36037,33860,Metropolitan Statistical Area
36038,,
36039,46260,Micropolitan Statistical Area
36040,33860,Metropolitan Statistical Area
36041,,
36041,33860,Metropolitan Statistical Area
36042,,
36043,33860,Metropolitan Statistical Area
36045,33860,Metropolitan Statistical Area
36046,33860,Metropolitan Statistical Area
36046,,
36047,33860,Metropolitan Statistical Area
36048,21640,Micropolitan Statistical Area
36049,,
36049,45980,Micropolitan Statistical Area
36051,33860,Metropolitan Statistical Area
36051,13820,Metropolitan Statistical Area
36052,33860,Metropolitan Statistical Area
36052,,
36053,,
36053,21640,Micropolitan Statistical Area
36054,33860,Metropolitan Statistical Area
36057,33860,Metropolitan Statistical Area
36061,,
36062,,
36064,33860,Metropolitan Statistical Area
36065,33860,Metropolitan Statistical Area
36066,33860,Metropolitan Statistical Area
36067,33860,Metropolitan Statistical Area
36068,33860,Metropolitan Statistical Area
36069,33860,Metropolitan Statistical Area
